,country_id,country_code,country_name,default_hist,fiscal_balance_gdp,government_grossdebt_gdp,inflation_data,exports_growth,savings_gdp,externaldebt,exports,reserves,real_gdppc,imports,real_gdpgrowth,real_gnipc,nominal_gdp,political_stability,rule_of_law,govt_effectiveness,m3_gdp,externaldebt/exports,reserves/import,reserves/gdp,log_real_gnipc,predicted_specgrade,Speculative_Grade_Prob,y_hat,(Threshold_Yhat)/sigma,Debt_Distress_prob
3,AE,ARE,United Arab Emirates,0,1.966,19.141,3.069,-5.852,37.893,,392863172226.004,99503335478.7452,41327.3827625282,281535738597.685,1.18985564163665,41463.3573099254,422215043584.969,0.7432382,0.8064476,1.431291,84.8594,,35.34305661311994,23.56698014212764,10.632565359795853,-2.281134792485998,0.09269746767202937,,,
8,BJ,BEN,Benin,0,-2.974,41.047,0.849,70.448,20.348,3690588733.9,3889961780.11204,,1211.31656294328,4923520371.58844,6.69725946087986,1198.86432785702,14250985958.6727,-0.132421,-0.6751704,-0.5659866,38.8924,94.87467853202666,,,7.089129994210575,1.9070231228713614,0.8706843416732074,,,
9,BF,BFA,Burkina Faso,0,-4.355,42.88,1.956,9.228,14.653,3285715189.6,4511341002.23874,,800.56336556216,5166927651.89807,6.81961748015405,,16199434624.5768,-1.040907,-0.4455683,-0.5783429,39.8059,72.83233938577183,,,,,,,,
12,BH,BHR,Bahrain,0,-11.944,94.748,2.1,4.96,26.11,,29959042553.1915,2334278370.00967,21478.1144253022,27048670212.766,1.95718329709366,20356.3712625623,37652500000.0,-0.8404424,0.4127088,0.1798774,,,8.629919148143461,6.199530894388606,9.92114922602552,-0.04679324083932083,0.48830382388176086,,,
20,CL,CHL,Chile,0,-1.465,25.56,2.318,4.954,19.504,,85257763802.9178,39858824174.8114,15111.6954231416,85798121554.1782,3.94932089095181,14492.9181155645,298258019275.049,0.4252459,1.115472,1.084034,49.8336,,46.45652311821546,13.363873424658602,9.581415403276555,-1.3031815447073136,0.2136300551368844,,,
22,CI,CIV,Côte d'Ivoire,0,-2.945,53.209,0.422,-3.113,16.111,15659655118.2,13043560450.9165,,1666.43225652443,13322615229.3695,6.79348796730912,1612.34706664718,57724731364.7669,-0.9311823,-0.5795925,-0.5705186,35.1515,120.05659940112197,,,7.3854462017827585,1.9084416197953196,0.8708439707038975,,,
32,ER,ERI,Eritrea,0,4.212,174.311,-14.401,9.635,19.545,791223131.9,,163033689.39269,,,,,,-0.6051562,-1.58643,-1.727732,,,,,,,,,,
34,FJ,FJI,Fiji,0,-5.515,46.155,4.08,,,851797658.2,,947653331.857671,4795.1945179883,,3.52620941683361,,5536759653.15704,0.7425547,-0.1286585,0.2595362,56.4113,,,17.11566676580087,,,,,,
40,GW,GNB,Guinea-Bissau,0,-4.844,64.344,0.381,14.348,5.731,420706740.5,369432111.04629,,622.079825417697,473248832.410983,3.79999999834297,621.100519900994,1458156026.13413,-0.6697532,-1.234043,-1.48785,43.6619,113.87931041199752,,,6.431492936629782,3.3911744550176515,0.9674275738130673,,,
41,GQ,GNQ,Equatorial Guinea,0,0.51,43.263,1.346,-39.976,6.63,,7809387582.7825,48929813.6121629,10134.6283006732,6068571860.65625,-6.3563391129224,7659.23778886785,13278488567.3058,-0.0511222,-1.41511,-1.29438,16.0408,,0.806282181964171,0.36848933042452997,8.943667752413917,1.3454364510036316,0.7933825422895505,,,
